batch_index,start_sample,accuracy,drift_detected
728,72800,0.98,True
729,72900,0.99,True
730,73000,0.98,True
731,73100,1.0,True
732,73200,0.97,True
733,73300,0.98,True
734,73400,1.0,True
735,73500,1.0,True
736,73600,1.0,True
737,73700,1.0,True
738,73800,0.98,True
739,73900,0.97,True
740,74000,0.99,True
741,74100,0.99,True
742,74200,1.0,True
743,74300,1.0,True
744,74400,1.0,True
745,74500,0.98,True
746,74600,1.0,True
747,74700,0.98,True
748,74800,0.99,True
749,74900,1.0,True
750,75000,1.0,True
751,75100,1.0,True
752,75200,1.0,True
753,75300,1.0,True
754,75400,0.98,True
755,75500,0.98,True
756,75600,1.0,True
757,75700,1.0,True
758,75800,1.0,True
759,75900,0.98,True
760,76000,0.99,True
761,76100,1.0,True
762,76200,1.0,True
763,76300,1.0,True
764,76400,0.99,True
765,76500,1.0,True
766,76600,0.98,True
767,76700,1.0,True
768,76800,0.98,True
769,76900,1.0,True
770,77000,0.99,True
771,77100,1.0,True
772,77200,1.0,True
773,77300,1.0,True
774,77400,0.97,True
775,77500,1.0,True
776,77600,1.0,True
777,77700,0.99,True
778,77800,0.94,True
779,77900,1.0,True
780,78000,1.0,True
781,78100,0.99,True
782,78200,0.99,True
783,78300,1.0,True
784,78400,0.98,True
785,78500,1.0,True
786,78600,1.0,True
787,78700,0.99,True
788,78800,0.97,True
789,78900,0.97,True
790,79000,0.96,True
791,79100,0.98,True
792,79200,0.98,True
793,79300,1.0,True
794,79400,1.0,True
795,79500,0.98,True
796,79600,1.0,True
797,79700,1.0,True
798,79800,0.98,True
799,79900,0.98,True
800,80000,1.0,True
801,80100,0.99,True
802,80200,0.99,True
803,80300,1.0,True
804,80400,1.0,True
805,80500,0.97,True
806,80600,0.96,True
807,80700,1.0,True
808,80800,1.0,True
809,80900,0.99,True
810,81000,0.98,True
811,81100,1.0,True
812,81200,0.98,True
813,81300,0.98,True
814,81400,0.99,True
815,81500,1.0,True
816,81600,0.99,True
817,81700,0.99,True
818,81800,1.0,True
819,81900,1.0,True
820,82000,1.0,True
821,82100,1.0,True
822,82200,1.0,True
823,82300,0.99,True
824,82400,1.0,True
825,82500,0.99,True
826,82600,0.99,True
827,82700,1.0,True
828,82800,1.0,True
829,82900,1.0,True
830,83000,0.98,True
831,83100,1.0,True
832,83200,1.0,True
833,83300,0.99,True
834,83400,1.0,True
835,83500,0.98,True
